,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
93,甲論乙駁,"['n,vs']",こうろんおつばく,甲,1573,5,"[' armor/armour,', ' helmet (of a warrior)/headpiece,', ' carapace/shell 1st in rank/grade A instep/back of hand the A party (e.g. in a contract)/the first party/plaintiff (label in legal documents),', ' treble range (in Japanese music)/high note,', ' first sign of the Chinese calendar]']","['よろい', 'かぶと', 'こう', 'かん', 'きのえ']","['｜', '日', '田']",['甲'],[7],['象形 Pictographic'],[1],[30085],[5102],['S'],論,2230,15,[' argument/discussion/dispute/controversy/discourse/debate theory (e.g. of evolution)/doctrine essay/treatise/comment]'],['ろん'],"['｜', '一', '言', '𠆢', '冊']",['論'],[6],['形声 Phonetic'],[3],[197415],[196158],['P'],乙,26,1,"[' second (party to an agreement)/the B party (e.g. in a contract)/the latter/defendant stylish/chic/spicy/witty/tasty/romantic strange/quaint/queer thank you/good job see you/goodbye/goodnight,', ' second in rank/second sign of the Chinese calendar,', ' younger brother (of an older brother)/younger sister (of an older sister) youngest child young/younger/youngest young and beautiful/cute]']","['おつ', 'きのと', 'おと']",['乙'],['乙'],[7],['象形 Pictographic'],[1],[2172],[1348],['S'],駁,2647,14,[' spots/speckles/mottles]'],['ぶち'],"['馬', '爻']",,,,,,,,甲論,[],[],甲論,[],[]
94,泡沫夢幻,['n'],ほうまつむげん,泡,1323,8,[' bubble/foam/froth/head on beer]'],['あわ'],"['氵', '勹', '已']",['泡'],[7],['形声 Phonetic'],[1],[4698],[4640],['S'],沫,1312,8,[' bubble/foam/froth/head on beer]'],['あわ'],"['｜', '氵', '二', 'ハ', '木', '亠']",,,,,,,,夢,512,13,[' dream]'],['ゆめ'],"['罒', '夕', '冖', '⺾']",['夢'],[5],['会意 Com. Ideographic'],[3],[36345],[34107],['S'],幻,713,4,[' phantom/vision/illusion/dream/apparition extremely rare item]'],['まぼろし'],['幺'],['幻'],[7],['象形 Pictographic'],[1],[7517],[6657],['R'],泡沫,[' bubble on surface of liquid ephemeral/transient]'],['うたかた'],泡沫,[' bubble on surface of liquid ephemeral/transient]'],['うたかた']
98,阿諛追従,"['n,vs']",あゆついしょう,阿,2517,8,"[' corner/nook/recess shade/shadow/dark area dark circles (under the eyes)/dark rings shading/gradation kumadori/style of kabuki makeup used for violent roles,', ' first Sanskrit alphabet letter Africa Awa (old province of Japan) prefixed to names to show intimacy]']","['くま', 'あ']","['一', '口', '亅', '⻖']",,,,,,,,諛,2231,16,[],[],"['言', '人', '日', '臼']",,,,,,,,追,2389,9,[],[],"['｜', '口', '辶']",['追'],[3],['会意 Com. Ideographic'],[3],[115252],[114796],['R'],従,778,10,"[' subordinate/secondary/junior/incidental,', ' lesser (of equal court ranks)/lower/junior,', ' lesser (of equal court ranks)/lower/junior]']","['じゅう', 'じゅ', 'ひろい']","['并', '疋', '彳']",['従'],[6],['会意 Com. Ideographic'],[1],[50374],[50356],['S'],阿諛,[' flattery/adulation]'],['あゆ'],阿諛,[' flattery/adulation]'],['あゆ']
100,樽俎折衝,['n'],そんそせっしょう,樽,1242,16,[' cask/barrel]'],['たる'],"['寸', '酉', '并', '木']",,,,,,,,俎,115,9,"[' altar of sacrifice,', ' chopping board/cutting board]']","['そ', 'まないた', 'まな']","['人', '目']",,,,,,,,折,934,7,"[' opportunity/chance/occasion/time folding/fold/pleat/crease small food box (wooden or cardboard) folding in ... (two, three, etc.) counter for folded items counter for items (esp. food) packed in an oribako]']",['おり'],"['斤', '扌']",['折'],[4],['会意 Com. Ideographic'],[3],[27998],[26727],['S'],衝,2128,15,"[' important point (e.g. on a route) important role (responsibility, etc.) opposition]']",['しょう'],"['｜', '行', '日', '彳', '里']",['衝'],[7],['形声 Phonetic'],[1],[26549],[26549],['S'],樽俎,[' (eating or drinking) party]'],['そんそ'],樽俎,[' (eating or drinking) party]'],['そんそ']
115,鶏鳴狗盗,['n'],けいめいくとう,鶏,2716,19,"[' chicken (Gallus gallus domesticus)/domestic chicken chicken meat,', ' bird bird meat (esp. chicken meat)/fowl/poultry]']","['にわとり', 'とり']","['人', '爪', '土', '大', '鳥']",['鶏'],[7],['形声 Phonetic'],[1],[7422],[7363],['S'],鳴,2702,14,[],[],"['口', '鳥', '灬']",['鳴'],[2],['会意 Com. Ideographic'],[3],[17034],[15408],['S'],狗,1515,8,"[' dog (Canis (lupus) familiaris) squealer/rat/snitch/informer/informant/spy loser/asshole counterfeit/inferior/useless/wasteful,', ' puppy]']","['いぬ', 'えのこ']","['口', '犭', '勹']",,,,,,,,盗,1625,11,[],[],"['欠', '皿', '冫']",['盗'],[7],['会意 Com. Ideographic'],[3],[31762],[31762],['S'],鶏鳴,[' crowing of a cock/crowing of a rooster cockcrow/dawn/daybreak hour of the Ox (around 2am)]'],['けいめい'],鶏鳴,[' crowing of a cock/crowing of a rooster cockcrow/dawn/daybreak hour of the Ox (around 2am)]'],['けいめい']
116,跳梁跋扈,"['n,vs']",ちょうりょうばっこ,跳,2323,13,[],[],"['口', '足', '儿', '冫']",['跳'],[7],['形声 Phonetic'],[1],[8562],[8562],['.'],梁,1205,11,"[' (fish) weir/fish trap,', ' beam/joist,', ' Liang dynasty (China, 502-557),', ' (roof) beam]']","['やな', 'はり', 'りょう', 'うつばり']","['氵', '刀', '木', '丶']",,,,,,,,跋,2312,12,[' epilogue/postscript/envoi]'],['ばつ'],"['ノ', '一', '口', '足', '丶', '攵']",,,,,,,,扈,918,11,[],[],"['戸', '⻏', '口', '巴', '一', '尸']",,,,,,,,跳梁,[' jumping about/rampancy/domination]'],['ちょうりょう'],跳梁,[' jumping about/rampancy/domination]'],['ちょうりょう']
133,剛毅果断,"['n,adj-na']",ごうきかだん,剛,244,10,[' strong/hard/manly]'],['ごう'],"['刂', '并', '冂', '岡', '山']",['剛'],[7],['会意 Com. Ideographic'],[1],[17299],[2501],['R'],毅,1277,15,[],[],"['立', '亠', '殳', '豕', '几', '又']",,,,,,,,果,1170,8,"["" phala (attained state, result) enlightenment (as the fruits of one's Buddhist practice) fruit counter for pieces of fruit,"", ' end/limit/extremity,', ' progress]']","['か', 'はたて', 'たて', 'はか']","['｜', '田', '木']",['果'],[4],['象形 Pictographic'],[3],[183069],[182852],['S'],断,1063,11,[' decision/judgment/resolution]'],['だん'],"['斤', '米', '｜', '一']",['断'],[5],['会意 Com. Ideographic'],[3],[149619],[149595],['S'],剛毅,[' fortitude/firmness of character/hardihood/manliness]'],['ごうき'],剛毅,[' fortitude/firmness of character/hardihood/manliness]'],['ごうき']
137,慇懃無礼,"['n,adj-na']",いんぎんぶれい,慇,867,14,[],[],"['心', '日', '殳', '几', '又']",,,,,,,,懃,892,17,[],[],"['心', '力', '⺾']",,,,,,,,無,1464,12,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']","['｜', 'ノ', '一', '灬', '無']",['無'],[4],['仮借 Loan'],[2],[225588],[224748],['R'],礼,1689,5,[' thanks/gratitude manners/etiquette bow reward/gift ceremony/ritual]'],['れい'],"['乙', '礻']",['礼'],[3],['形声 Phonetic'],[3],[17036],[14032],['P'],慇懃,[' politeness/courtesy/civility friendship/(sexual) intimacy]'],['いんぎん'],慇懃,[' politeness/courtesy/civility friendship/(sexual) intimacy]'],['いんぎん']
139,効果覿面,"['n,adj-na']",こうかてきめん,効,262,8,"[' efficacy/benefit/efficiency/effect/result/success,', ' effect/result/worth/use/avail Kai (former province located in present-day Yamanashi Prefecture)]']","['こう', 'かい']","['父', '力', '亠']",['効'],[5],['会意 Com. Ideographic'],[2],[91013],[91013],['S'],果,1170,8,"["" phala (attained state, result) enlightenment (as the fruits of one's Buddhist practice) fruit counter for pieces of fruit,"", ' end/limit/extremity,', ' progress]']","['か', 'はたて', 'たて', 'はか']","['｜', '田', '木']",['果'],[4],['象形 Pictographic'],[3],[183069],[182852],['S'],覿,2177,22,[],[],"['貝', '目', 'ハ', '見', '士', '儿', '囗']",,,,,,,,面,2585,9,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface cheek meat cheek/cheeks surrounding area,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ...]']","['おもて', 'つら', 'めん', 'づら']",['面'],['面'],[3],['象形 Pictographic'],[3],[232121],[231082],['P'],効果,"[' effect/effectiveness/efficacy/result effects (e.g. sound effects, visual effects, special effects)]']",['こうか'],効果,"[' effect/effectiveness/efficacy/result effects (e.g. sound effects, visual effects, special effects)]']",['こうか']
142,頑迷固陋,"['n,adj-na']",がんめいころう,頑,2602,13,[' obstinate/stubborn/mulish/die-hard/bigoted]'],"['かたくな', 'な']","['貝', '目', 'ハ', '頁', '儿', '二', '元']",['頑'],[7],['形声 Phonetic'],[1],[17758],[17758],['R'],迷,2387,9,[],[],"['辶', '米']",['迷'],[5],['形声 Phonetic'],[3],[28744],[28706],['S'],固,445,8,[],[],"['口', '十', '囗']",['固'],[4],['会意 Com. Ideographic'],[2],[41792],[41791],['S'],陋,2520,9,[' narrowness/meanness/humbleness/lowliness]'],['ろう'],"['人', '冂', '⻖']",,,,,,,,頑迷,[' bigoted/obstinate/stubborn/pigheaded]'],['がんめい'],頑迷,[' bigoted/obstinate/stubborn/pigheaded]'],['がんめい']
143,狷介固陋,"['n,adj-na']",けんかいころう,狷,1520,10,[],[],"['月', '口', '犭']",,,,,,,,介,54,4,[],[],"['ハ', '𠆢']",['介'],[7],['象形 Pictographic'],[2],[101634],[83725],['S'],固,445,8,[],[],"['口', '十', '囗']",['固'],[4],['会意 Com. Ideographic'],[2],[41792],[41791],['S'],陋,2520,9,[' narrowness/meanness/humbleness/lowliness]'],['ろう'],"['人', '冂', '⻖']",,,,,,,,狷介,[' obstinate/stubborn/headstrong/self-centred/self-centered]'],['けんかい'],狷介,[' obstinate/stubborn/headstrong/self-centred/self-centered]'],['けんかい']
146,無知蒙昧,"['n,adj-na']",むちもうまい,無,1464,12,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']","['｜', 'ノ', '一', '灬', '無']",['無'],[4],['仮借 Loan'],[2],[225588],[224748],['R'],知,1662,8,[' wisdom jnana (higher knowledge)]'],['ち'],"['口', '矢']",['知'],[2],['会意 Com. Ideographic'],[4],[267746],[217178],['S'],蒙,2045,13,[' ignorance covering/concealing Mongolia]'],['もう'],"['冖', '⺾', '豕']",,,,,,,,昧,1093,9,[],[],"['｜', '二', '日', 'ハ', '木', '亠']",['昧'],[7],['形声 Phonetic'],[0],[378],[371],['P'],無知,[' ignorance/innocence/stupidity]'],['むち'],無知,[' ignorance/innocence/stupidity]'],['むち']
147,有耶無耶,"['n,adj-na']",うやむや,有,1131,6,"[' existence possession/having limited company,', ' bhava (becoming, existence)]']","['ゆう', 'う']","['ノ', '一', '月']",['有'],[3],['会意 Com. Ideographic'],[4],[180920],[159897],['R'],耶,1920,9,[],[],"['耳', '⻏']",,,,,,,,無,1464,12,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']","['｜', 'ノ', '一', '灬', '無']",['無'],[4],['仮借 Loan'],[2],[225588],[224748],['R'],耶,1920,9,[],[],"['耳', '⻏']",,,,,,,,有耶,[],[],有耶,[],[]
155,門前雀羅,['n'],もんぜんじゃくら,門,2498,8,"[' door (esp. Japanese-style) shutter/window shutter entrance (to a home) narrows,', ' gate branch of learning based on the teachings of a single master division/phylum counter for cannons]']","['と', 'もん']",['門'],['門'],[2],['象形 Pictographic'],[2],[106883],[91494],['P'],前,242,9,"[' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' last (i.e. immediately preceding)/previous/ex-/former pre- (e.g. premodern) before before/earlier,', "" in front (of)/before (e.g. a building) before/earlier/previously/prior/ago/(minutes) to (the hour) (the) front/frontal part/fore/head (e.g. of a line) forward/ahead (in the) presence (of)/in front (of someone) previous (e.g. page)/prior (e.g. engagement)/first (e.g. half)/former (e.g. example) portion/helping front (of one's body or clothing)/breast (of a coat, kimono, etc.) privates/private parts 10. criminal record/previous conviction/(a) prior]""]","['さき', 'ぜん', 'まえ']","['一', '刂', '月', '并']",['前'],[2],['会意 Com. Ideographic'],[5],[718328],[679235],['R'],雀,2549,11,[' tree sparrow (Passer montanus) talkative person/knowledgeable person]'],['すずめ'],"['ノ', '小', '隹']",,,,,,,,羅,1890,19,[' lightweight fabric or clothing/silk gauze/thin silk Latin (language)]'],['うすもの'],"['糸', '幺', '小', '罒', '隹']",['羅'],[7],['会意 Com. Ideographic'],[1],[5681],[2721],['S'],門前,"[' before the gate/in front of the gate, メンゼン', "" one's hand being completely concealed/not having called any tiles]""]",['もんぜん'],門前,"[' before the gate/in front of the gate, メンゼン', "" one's hand being completely concealed/not having called any tiles]""]",['もんぜん']
159,蛙鳴蝉噪,['n'],あめいせんそう,蛙,2095,12,[' frog kajika frog (Buergeria buergeri)]'],['かえる'],"['虫', '土']",,,,,,,,鳴,2702,14,[],[],"['口', '鳥', '灬']",['鳴'],[2],['会意 Com. Ideographic'],[3],[17034],[15408],['S'],蝉,2107,15,[' cicada/locust small-sized pulley]'],['せみ'],"['十', '⺌', '虫', '田']",,,,,,,,噪,428,16,[],[],"['口', '木', '品']",,,,,,,,蛙鳴,[' frog calling]'],['あめい'],蛙鳴,[' frog calling]'],['あめい']
162,四面楚歌,['n'],しめんそか,四,437,5,"[' four, スー', ' four]']",['し'],"['儿', '囗']",['四'],[1],['指事 Ideographic'],[5],[101707],[81851],['R'],面,2585,9,"[' face surface mask (esp. a noh or kyogen mask),', ' face/mug surface cheek meat cheek/cheeks surrounding area,', ' face mask/face guard (in kendo) striking the head surface (esp. a geometrical surface) page aspect/facet/side chamfer counter for broad, flat objects, levels or stages, e.g. in a video game,', ' looking like a .../acting as if a ...]']","['おもて', 'つら', 'めん', 'づら']",['面'],['面'],[3],['象形 Pictographic'],[3],[232121],[231082],['P'],楚,1222,13,"[' switch (long, tender shoot of a plant) switch (cane used for flogging),', ' switch (flogging implement made from a branch)]']","['すわえ', 'しもと']","['疋', '木']",,,,,,,,歌,1255,14,[' song classical Japanese poetry (esp. tanka) modern poetry]'],['うた'],"['欠', '口', '亅']",['歌'],[2],['形声 Phonetic'],[4],[95151],[77157],['P'],四面,[' four sides/all sides]'],['しめん'],四面,[' four sides/all sides]'],['しめん']
163,偕老同穴,['n'],かいろうどうけつ,偕,137,11,[],[],"['⺅', '白', '比']",,,,,,,,老,1912,6,[' old age/age/old people/the old/the aged/senior/elder I/me/my humble self]'],['ろう'],['⺹'],['老'],[4],['会意 Com. Ideographic'],[3],[34640],[29561],['R'],同,344,6,[' the same/the said likewise]'],['どう'],"['口', '冂', '一']",['同'],[2],['会意 Com. Ideographic'],[4],[833380],[827991],['R'],穴,1737,5,"[' hole/opening/perforation pit/hollow/hole (in the ground, etc.) burrow/den/lair/holt/hole deficit/shortage/missing person (in a team, meeting, etc.) vacancy/opening flaw well-kept secret place upset victory (with a large payoff) pit (of a theater) 10. hiding place/hideout 11. underbelly (of society, etc.),', ' ass/arse/buttocks rear/end acupuncture point hole/notch]']","['あな', 'けつ']","['穴', 'ハ', '宀']",['穴'],[6],['象形 Pictographic'],[1],[12710],[11875],['S'],偕老,[' growing old together]'],['かいろう'],偕老,[' growing old together]'],['かいろう']
165,桜花爛漫,['n'],おうからんまん,桜,1203,10,[' cherry tree/cherry blossom fake buyer/paid audience/shill/seat filler hired applauder horse meat]'],['さくら'],"['女', '⺌', '木']",['桜'],[5],['形声 Phonetic'],[1],[20657],[9681],['S'],花,2007,7,[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely]'],['はな'],"['⺅', '匕', '⺾']",['花'],[1],['形声 Phonetic'],[4],[69449],[48962],['R'],爛,1485,21,[' brilliant/bright]'],['らん'],"['｜', '火', '日', 'ハ', '木', '門']",,,,,,,,漫,1420,14,[],[],"['氵', '日', '罒', '又']",['漫'],[7],['形声 Phonetic'],[1],[10740],[10740],['S'],桜花,[' cherry blossom]'],['おうか'],桜花,[' cherry blossom]'],['おうか']
173,満身創痍,['n'],まんしんそうい,満,1395,12,"[' being full (counting) completed years (e.g. when calculating age) full (years, months, etc.) Manchuria]']",['まん'],"['｜', '一', '氵', '二', '冂', '山']",['満'],[4],['形声 Phonetic'],[3],[85439],[76938],['R'],身,2345,7,"["" body oneself one's place/one's position main part/meat (as opposed to bone, skin, etc.)/wood (as opposed to bark)/blade (as opposed to its handle)/container (as opposed to its lid),"", ' (dead) body/corpse]']","['み', 'むくろ']",['身'],['身'],[3],['象形 Pictographic'],[3],[164014],[162915],['P'],創,250,12,"["" wound/injury/cut/gash/bruise/scratch/scrape/scar chip/crack/scratch/nick flaw/defect/weakness/weak point stain (on one's reputation)/disgrace/dishonor/dishonour (emotional) hurt/hurt feelings]""]",['きず'],"['刂', '口', '𠆢']",['創'],[6],['形声 Phonetic'],[1],[47756],[41991],['R'],痍,1599,11,[],[],"['弓', '人', '大', '疒']",,,,,,,,満身,"["" the whole body all one's (strength, anger, spirit, etc.)]""]",['まんしん'],満身,"["" the whole body all one's (strength, anger, spirit, etc.)]""]",['まんしん']
179,贅沢三昧,['n'],ぜいたくざんまい,贅,2295,18,[' extravagance/luxury]'],['ぜい'],"['貝', '目', 'ハ', '土', '方', '攵']",,,,,,,,沢,1311,7,"[' mountain stream/valley/dale wetlands/swamp/marsh,', ' blessing/grace/favour/favor/benefit]']","['さわ', 'たく']","['氵', '尸']",['沢'],[7],['形声 Phonetic'],[1],[124565],[3426],['S'],三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R'],昧,1093,9,[],[],"['｜', '二', '日', 'ハ', '木', '亠']",['昧'],[7],['形声 Phonetic'],[0],[378],[371],['P'],贅沢,"[' luxury/extravagance to live in luxury/to indulge oneself lavish (use of something)/abundant/copious/wasteful excessive (e.g. demands, expectations)]']",['ぜいたく'],贅沢,"[' luxury/extravagance to live in luxury/to indulge oneself lavish (use of something)/abundant/copious/wasteful excessive (e.g. demands, expectations)]']",['ぜいたく']
